"Utterance","InDomain","InStoriesOrRules","InActions","Status"
"utter_ask_email_contacto","True","False","False","HUERFANA"
"utter_affirm","True","True","False","PROTEGIDA"
"utter_agradecimiento_satisfaccion","True","True","False","PROTEGIDA"
"utter_ask_cedula","True","True","False","PROTEGIDA"
"utter_ask_email","True","True","False","PROTEGIDA"
"utter_ask_feedback_texto","True","True","False","PROTEGIDA"
"utter_ask_mensaje","True","True","False","PROTEGIDA"
"utter_ask_nivel_satisfaccion","True","True","False","PROTEGIDA"
"utter_ask_nombre","True","True","False","PROTEGIDA"
"utter_ask_password","True","True","False","PROTEGIDA"
"utter_ask_phone","True","True","False","PROTEGIDA"
"utter_ask_usuario","True","True","False","PROTEGIDA"
"utter_auth_fail","True","True","False","PROTEGIDA"
"utter_auth_ok","True","True","False","PROTEGIDA"
"utter_ayuda_certificados","True","True","False","PROTEGIDA"
"utter_cambiar_idioma_espanol","True","True","False","PROTEGIDA"
"utter_cambiar_idioma_ingles","True","True","False","PROTEGIDA"
"utter_cancelar_accion","True","True","False","PROTEGIDA"
"utter_cancelar_cierre","True","False","True","PROTEGIDA"
"utter_cancelar_soporte","True","True","False","PROTEGIDA"
"utter_catalogo_cursos","True","True","False","PROTEGIDA"
"utter_cerrar_chat","True","True","False","PROTEGIDA"
"utter_cerrar_chat_confirmacion","True","True","False","PROTEGIDA"
"utter_certificado_estudio_info","True","True","False","PROTEGIDA"
"utter_certificado_laboral_info","True","True","False","PROTEGIDA"
"utter_certificado_notas_info","True","True","False","PROTEGIDA"
"utter_certificado_otro_info","True","True","False","PROTEGIDA"
"utter_certificados_carousel","True","True","True","PROTEGIDA"
"utter_cierre_cancelado","True","True","True","PROTEGIDA"
"utter_cierre_cancelado_seguro","True","True","False","PROTEGIDA"
"utter_cierre_confirmado","True","True","True","PROTEGIDA"
"utter_cierre_confirmado_seguro","True","True","True","PROTEGIDA"
"utter_confirmacion_consulta","True","True","False","PROTEGIDA"
"utter_confirmar_cierre_con_autosave","True","False","True","PROTEGIDA"
"utter_confirmar_derivacion","True","True","False","PROTEGIDA"
"utter_confirmar_email","True","True","False","PROTEGIDA"
"utter_consulta_por_identificacion_info","True","True","False","PROTEGIDA"
"utter_consulta_por_solicitud_info","True","True","False","PROTEGIDA"
"utter_consulta_por_tipo_info","True","True","False","PROTEGIDA"
"utter_contactar_tutor_confirmacion","True","True","False","PROTEGIDA"
"utter_contactar_tutor_opciones","True","True","False","PROTEGIDA"
"utter_contenido_curso_resumen","True","True","False","PROTEGIDA"
"utter_continuar_con_bot","True","True","False","PROTEGIDA"
"utter_continuar_tema_menu","True","True","False","PROTEGIDA"
"utter_correo_enviado","True","True","True","PROTEGIDA"
"utter_deny","True","True","False","PROTEGIDA"
"utter_derivacion_cancelada","True","True","True","PROTEGIDA"
"utter_derivando_humano","True","True","True","PROTEGIDA"
"utter_derivar_a_humano_opciones","True","True","False","PROTEGIDA"
"utter_derivar_humano_en_progreso","True","False","True","PROTEGIDA"
"utter_descargar_certificado","True","True","False","PROTEGIDA"
"utter_despedida_final","True","False","True","PROTEGIDA"
"utter_despedida_profesional","True","True","True","PROTEGIDA"
"utter_encuesta_insatisfaccion","True","True","False","PROTEGIDA"
"utter_encuesta_negativa","True","True","False","PROTEGIDA"
